date,home_team,score,away_team
21-12-2024,Brentford,0 - 2,Nott'm Forest
29-12-2024,Everton,0 - 2,Nott'm Forest
06-01-2025,Wolves,0 - 3,Nott'm Forest
25-01-2025,Bournemouth,5 - 0,Nott'm Forest
15-02-2025,Fulham,2 - 1,Nott'm Forest
24-08-2024,Southampton,0 - 1,Nott'm Forest
14-09-2024,Southampton,0 - 3,Man United
21-09-2024,Southampton,1 - 1,Ipswich
19-10-2024,Southampton,2 - 3,Leicester
02-11-2024,Southampton,1 - 0,Everton
24-11-2024,Southampton,2 - 3,Liverpool
04-12-2024,Southampton,1 - 5,Chelsea
15-12-2024,Southampton,0 - 5,Tottenham
26-12-2024,Southampton,0 - 1,West Ham
04-01-2025,Southampton,0 - 5,Brentford
25-01-2025,Southampton,1 - 3,Newcastle
15-02-2025,Southampton,1 - 3,Bournemouth
17-08-2024,Newcastle,1 - 0,Southampton
31-08-2024,Brentford,3 - 1,Southampton
30-09-2024,Bournemouth,3 - 1,Southampton
05-10-2024,Arsenal,3 - 1,Southampton
26-10-2024,Man City,1 - 0,Southampton
09-11-2024,Wolves,2 - 0,Southampton
29-11-2024,Brighton,1 - 1,Southampton
07-12-2024,Aston Villa,1 - 0,Southampton
22-12-2024,Fulham,0 - 0,Southampton
29-12-2024,Crystal Palace,2 - 1,Southampton
16-01-2025,Man United,3 - 1,Southampton
19-01-2025,Nott'm Forest,3 - 2,Southampton
01-02-2025,Ipswich,1 - 2,Southampton
24-08-2024,Tottenham,4 - 0,Everton
15-09-2024,Tottenham,0 - 1,Arsenal
21-09-2024,Tottenham,3 - 1,Brentford
19-10-2024,Tottenham,4 - 1,West Ham
03-11-2024,Tottenham,4 - 1,Aston Villa
10-11-2024,Tottenham,1 - 2,Ipswich
01-12-2024,Tottenham,1 - 1,Fulham
08-12-2024,Tottenham,3 - 4,Chelsea
22-12-2024,Tottenham,3 - 6,Liverpool
29-12-2024,Tottenham,2 - 2,Wolves
04-01-2025,Tottenham,1 - 2,Newcastle
26-01-2025,Tottenham,1 - 2,Leicester
16-02-2025,Tottenham,1 - 0,Man United
19-08-2024,Leicester,1 - 1,Tottenham
01-09-2024,Newcastle,2 - 1,Tottenham
29-09-2024,Man United,0 - 3,Tottenham
06-10-2024,Brighton,3 - 2,Tottenham
27-10-2024,Crystal Palace,1 - 0,Tottenham
23-11-2024,Man City,0 - 4,Tottenham
05-12-2024,Bournemouth,1 - 0,Tottenham
15-12-2024,Southampton,0 - 5,Tottenham
26-12-2024,Nott'm Forest,1 - 0,Tottenham
15-01-2025,Arsenal,2 - 1,Tottenham
19-01-2025,Everton,3 - 2,Tottenham
02-02-2025,Brentford,0 - 2,Tottenham
17-08-2024,West Ham,1 - 2,Aston Villa
31-08-2024,West Ham,1 - 3,Man City
21-09-2024,West Ham,0 - 3,Chelsea
05-10-2024,West Ham,4 - 1,Ipswich
27-10-2024,West Ham,2 - 1,Man United
09-11-2024,West Ham,0 - 0,Everton
30-11-2024,West Ham,2 - 5,Arsenal
09-12-2024,West Ham,2 - 1,Wolves
21-12-2024,West Ham,1 - 1,Brighton
29-12-2024,West Ham,0 - 5,Liverpool
14-01-2025,West Ham,3 - 2,Fulham
18-01-2025,West Ham,0 - 2,Crystal Palace
15-02-2025,West Ham,0 - 1,Brentford
24-08-2024,Crystal Palace,0 - 2,West Ham
14-09-2024,Fulham,1 - 1,West Ham
28-09-2024,Brentford,1 - 1,West Ham
19-10-2024,Tottenham,4 - 1,West Ham
02-11-2024,Nott'm Forest,3 - 0,West Ham
25-11-2024,Newcastle,0 - 2,West Ham
